Skin Name,StatTrak Factory New,StatTrak Factory New Median,StatTrak Min Wear,StatTrak Min Wear Median,StatTrak Field-Tested,StatTrak Field-Tested Median,StatTrak Well Worn,StatTrak Well Worn Median,StatTrak Battle-Scarred,StatTrak Battle-Scarred Median,Factory New,Factory New Median,Min Wear,Min Wear Median,Field-Tested,Field-Tested Median,Well-Worn,Well-Worn Median,Battle-Scarred,Battle-Scarred Median,Rarity
M4A1-S-Hyper-Beast,$624.42,$627.16,$233.00,$240.00,$93.58,$93.08,$80.57,$74.07,$71.07,$69.99,$335.93,$327.16,$77.00,$74.72,$33.35,$31.49,$24.00,$24.07,$22.38,$21.96,Covert
MAC-10-Neon-Rider,$29.56,$12.15,$10.14,$11.17,$80.62,$79.35,$44.27,$44.06,$32.52,$32.20,$33.30,$33.69,$29.56,$28.98,$12.15,$12.04,$10.14,$10.53,$11.17,$10.33,Covert
Galil-AR-Eco,$86.25,$8.74,$5.03,$3.99,$182.87,$128.53,$19.51,$20.02,$11.20,$11.26,$9.98,$9.80,$86.25,$82.22,$8.74,$8.67,$5.03,$4.91,$3.99,$4.00,Classified
Five-SeveN-Monkey-Business,$22.33,$4.33,$3.46,$3.28,$84.72,$84.12,$10.29,$10.49,$8.12,$7.73,$8.06,$8.02,$22.33,$21.94,$4.33,$4.18,$3.46,$3.28,$3.28,$3.16,Classified
FAMAS-Djinn,$42.28,$48.49,$17.71,$14.95,$9.00,$7.93,$8.63,$8.14,$8.80,$8.00,$19.92,$19.87,$7.14,$6.99,$3.17,$2.89,$2.20,$2.20,$2.21,$2.16,Classified
AWP-Worm-God,$4.80,$2.90,$2.10,$2.68,$11.50,$11.10,$7.25,$7.66,$6.36,$5.99,$8.13,$7.99,$4.80,$4.65,$2.90,$2.70,$2.10,$2.08,$2.68,$2.45,Restricted
MAG-7-Heat,$17.16,$17.23,$4.67,$4.15,$1.87,$1.86,$1.39,$1.28,$1.15,$1.06,$5.64,$5.44,$1.70,$1.56,$0.78,$0.69,$0.58,$0.56,$0.60,$0.56,Restricted
CZ75-Auto-Pole-Position,$8.06,$7.50,$3.69,$3.50,$1.15,$1.19,$1.28,$1.24,$1.09,$1.16,$3.80,$3.70,$1.38,$1.40,$0.53,$0.53,$0.59,$0.55,$0.43,$0.47,Restricted
UMP-45-Grand-Prix,$8.06,$7.50,$3.69,$3.50,$1.15,$1.19,$1.28,$1.24,$1.09,$1.16,$3.80,$3.70,$1.38,$1.40,$0.53,$0.53,$0.59,$0.55,$0.43,$0.47,Restricted
AK-47-Elite-Build,$43.35,$40.44,$13.29,$13.54,$7.01,$7.32,$4.94,$5.28,$5.45,$5.25,$11.20,$11.00,$3.26,$3.02,$1.90,$1.97,$1.55,$1.51,$1.49,$1.43,Mil-Spec
P250-Valence,$4.68,$4.43,$1.40,$1.63,$0.57,$0.56,$1.06,$1.00,$0.54,$0.42,$1.31,$1.28,$0.42,$0.42,$0.15,$0.15,$0.31,$0.31,$0.13,$0.11,Mil-Spec
Desert-Eagle-Bronze-Deco,$2.73,$2.77,$1.30,$1.37,$0.75,$0.72,$0.81,$0.85,$3.12,$3.01,$0.55,$0.56,$0.28,$0.30,$0.15,$0.14,$0.19,$0.19,$0.51,$0.46,Mil-Spec
MP7-Armor-Core,$1.49,$1.47,$0.63,$0.66,$0.43,$0.44,$0.50,$0.49,$0.54,$0.50,$0.47,$0.45,$0.25,$0.26,$0.15,$0.14,$0.25,$0.24,$0.17,$0.18,Mil-Spec
Sawed-Off-Origami,$1.18,$1.17,$0.65,$0.65,$0.37,$0.38,$0.40,$0.39,$0.37,$0.36,$0.53,$0.48,$0.24,$0.23,$0.13,$0.11,$0.17,$0.16,$0.12,$0.10,Mil-Spec
Negev-Man-o-war, $1.18,$1.17,$0.65,$0.65,$0.37,$0.38,$0.40,$0.39,$0.37,$0.36,$0.53,$0.48,$0.24,$0.23,$0.13,$0.11,$0.17,$0.16,$0.12,$0.10,Mil-Spec
